DATE,TIME,NUMBER,TYPE,
2002/1/15,Tuesday,(509) 575-5111,Receptionist/Information,
2002/1/15,Tuesday,(509) 575-6114,Community and Economic Development,
2002/1/15,Tuesday,(509) 575-6184,City Attorney,
2002/1/15,Tuesday,(509) 575-6184,City Attorney,
2002/1/15,Tuesday,(509) 575-6041,City Manager,
2002/1/15,Tuesday,(509) 575-5111,Receptionist/Information,
2002/1/15,Tuesday,(509) 966-1399,Lance's Legendary Pizza Restaurant,
2002/1/15,Tuesday,(509) 966-1399,Lance's Legendary Pizza Restaurant,
2002/1/15,Tuesday,(509) 575-6094,Purchasing,
2002/1/15,Tuesday,(509) 575-6038,City Clerk,
2002/1/15,Tuesday,(509) 457-6818,Private Alderwood Phone Number 13,
2002/1/15,Tuesday,(509) 575-6184,City Attorney,
2002/1/16,Wednesday,(509) 575-6102,Neighborhood and Development Services,
2002/1/17,Thursday,(509) 575-6184,City Attorney,
2002/1/17,Thursday,(509) 575-5111,Receptionist/Information,
2002/1/17,Thursday,(509) 972-3585,Starbuck's Coffee Shop 2,
2002/1/17,Thursday,(206) 461-4857,Seattle Legal Services,
2002/1/17,Thursday,(509) 575-6036,City Prosecutor,
2002/1/17,Thursday,(509) 575-3051,Municipal Court,
2002/1/17,Thursday,(206) 467-5203,"Beazer and Tolman, Attorneys-at-Law",
2002/1/17,Thursday,(509) 248-0723,Shangri-La Take Out,
2002/1/17,Thursday,(509) 575-6038,City Clerk,
2002/1/17,Thursday,(206) 628-2312,"Hawks and Pernich, Attorneys-at-Law",
2002/1/17,Thursday,(509) 575-6036,City Prosecutor,
2002/1/17,Thursday,(509) 575-5111,Receptionist/Information,
2002/1/17,Thursday,(206) 467-5203,"Beazer and Tolman, Attorneys-at-Law",
2002/1/17,Thursday,(509) 453-5589,Crossroads Donuts,
2002/1/18,Friday,(509) 575-6184,City Attorney,
2002/1/18,Friday,(509) 575-6184,City Attorney,
2002/1/18,Friday,(509) 575-6004,Public Works,
2002/1/18,Friday,(509) 575-6081,Utility Services,
2002/1/19,Saturday,,,
2002/1/20,Sunday,,,
2002/1/21,Monday,41 041 242 16 16,,
2002/1/21,Monday,41 031 819 42 40 ,,
2002/1/22,Tuesday,(509) 457-0025,Private Alderwood Phone Number 10,
2002/1/22,Tuesday,(509) 575-6671,City Licensing,
2002/1/22,Tuesday,(509) 575-6042,Assistant City Manager,
2002/1/22,Tuesday,(509) 965-9259,Private Alderwood Phone Number 3,
2002/1/23,Wednesday,(509) 575-6114,Community and Economic Development,
2002/1/23,Wednesday,(509) 575-6155,Water and Irrigation,
2002/1/24,Thursday,(509) 575-3051,Municipal Court,
2002/1/24,Thursday,(509) 575-6671,City Licensing,
2002/1/24,Thursday,(509) 453-5589,Crossroads Donuts,
2002/1/24,Thursday,(509) 457-2136,Private Alderwood Phone Number 14,
2002/1/25,Friday,(509) 575-3571,Probation,
2002/1/25,Friday,(509) 575-6184,City Attorney,
2002/1/25,Friday,(509) 575-6184,City Attorney,
2002/1/25,Friday,(509) 575-6184,City Attorney,
2002/1/26,Saturday,(416) 695-2090,,
2002/1/26,Saturday,41 031 819 42 40,,
2002/1/27,Sunday,,,
2002/1/28,Monday,(509) 453-2162,El Taco Stand,
2002/1/28,Monday,(509) 248-3854,Arctic Circle 1,
2002/1/29,Tuesday,(509) 965-2589,Private Alderwood Phone Number 29,
2002/1/29,Tuesday,(509) 575-3051,Municipal Court,
2002/1/29,Tuesday,(509) 575-6036,City Prosecutor,
2002/1/29,Tuesday,(509) 575-6063,Convention Center,
2002/1/29,Tuesday,(509) 453-8404,Private Alderwood Phone Number 17,
2002/1/30,Wednesday,(509) 575-5111,Receptionist/Information,
2002/1/31,Thursday,(509) 453-5589,Crossroads Donuts,
2002/1/31,Thursday,(509) 575-5111,Receptionist/Information,
